iter	Passed	Remaining
0	57	5687
1	57	2822
2	57	1867
3	57	1389
4	58	1102
5	58	911
6	58	775
7	58	673
8	58	593
9	58	529
10	58	477
11	59	433
12	59	396
13	59	365
14	59	338
15	59	314
16	60	293
17	60	274
18	60	257
19	60	241
20	60	228
21	60	215
22	60	204
23	61	193
24	61	183
25	61	174
26	61	166
27	61	158
28	61	151
29	61	144
30	62	138
31	62	132
32	62	126
33	62	121
34	62	116
35	62	111
36	62	107
37	63	102
38	63	98
39	63	94
40	63	91
41	63	87
42	63	84
43	63	81
44	64	78
45	64	75
46	64	72
47	64	69
48	64	67
49	64	64
50	64	62
51	64	59
52	65	57
53	65	55
54	65	53
55	65	51
56	65	49
57	65	47
58	65	45
59	66	44
60	66	42
61	66	40
62	66	39
63	66	37
64	66	35
65	66	34
66	67	33
67	67	31
68	67	30
69	67	28
70	67	27
71	67	26
72	67	25
73	68	23
74	68	22
75	68	21
76	68	20
77	68	19
78	68	18
79	68	17
80	68	16
81	69	15
82	69	14
83	69	13
84	69	12
85	69	11
86	69	10
87	70	9
88	70	8
89	70	7
90	70	6
91	70	6
92	70	5
93	70	4
94	70	3
95	71	2
96	71	2
97	71	1
98	71	0
99	71	0
