experiment,max_len,rnn_units,activation,dropout,best_epoch,train_accuracy,val_accuracy,val_loss,test_accuracy,test_loss
1,250,64,relu,0.0,5,0.9471499919891357,0.8691999912261963,0.3886660039424896,0.8478400111198425,0.3748583495616913
2,250,64,relu,0.2,5,0.9508500099182129,0.8543999791145325,0.3813343942165375,0.8428400158882141,0.3776339590549469
3,250,64,relu,0.5,5,0.9150999784469604,0.8348000049591064,0.4304012656211853,0.8202000260353088,0.4413582682609558
4,250,64,tanh,0.0,3,0.9274500012397766,0.8270000219345093,0.4218702018260956,0.8178799748420715,0.4121755361557007
5,250,64,tanh,0.2,1,0.683650016784668,0.817799985408783,0.4181140065193176,0.8166000247001648,0.4168744385242462
6,250,64,tanh,0.5,3,0.8457000255584717,0.800599992275238,0.4604697823524475,0.8032400012016296,0.45206311345100403
7,250,128,relu,0.0,2,0.6585500240325928,0.6320000290870667,0.6307376027107239,0.6306800246238708,0.6260958909988403
8,250,128,relu,0.2,3,0.6674000024795532,0.6371999979019165,0.6211405396461487,0.6174399852752686,0.624416708946228
9,250,128,relu,0.5,8,0.941349983215332,0.8521999716758728,0.4342174828052521,0.8302800059318542,0.4297013282775879
10,250,128,tanh,0.0,6,0.9267500042915344,0.8406000137329102,0.42085781693458557,0.8294000029563904,0.4161366820335388
11,250,128,tanh,0.2,2,0.703000009059906,0.7188000082969666,0.5577955842018127,0.7227200269699097,0.5576305985450745
12,250,128,tanh,0.5,4,0.8675000071525574,0.824999988079071,0.4341752529144287,0.8284800052642822,0.42303550243377686
13,500,64,relu,0.0,1,0.667900025844574,0.7724000215530396,0.47863250970840454,0.773639976978302,0.481332391500473
14,500,64,relu,0.2,1,0.651199996471405,0.746399998664856,0.5118104815483093,0.7456799745559692,0.5105926394462585
15,500,64,relu,0.5,5,0.9064499735832214,0.8406000137329102,0.4331127405166626,0.8182399868965149,0.42923077940940857
16,500,64,tanh,0.0,3,0.9228000044822693,0.8248000144958496,0.44562408328056335,0.8087599873542786,0.43715184926986694
17,500,64,tanh,0.2,3,0.9290500283241272,0.8226000070571899,0.46028003096580505,0.7924000024795532,0.46472427248954773
18,500,64,tanh,0.5,3,0.7946000099182129,0.8098000288009644,0.4323316812515259,0.8097599744796753,0.42395782470703125
19,500,128,relu,0.0,9,0.9380499720573425,0.8181999921798706,0.4496442377567291,0.8172000050544739,0.43922922015190125
20,500,128,relu,0.2,6,0.890749990940094,0.7842000126838684,0.4893806278705597,0.7676399946212769,0.4930639863014221
21,500,128,relu,0.5,2,0.650600016117096,0.704800009727478,0.568958580493927,0.7021999955177307,0.5640052556991577
22,500,128,tanh,0.0,4,0.8526999950408936,0.8127999901771545,0.43242213129997253,0.8168799877166748,0.42235079407691956
23,500,128,tanh,0.2,5,0.8962000012397766,0.8248000144958496,0.4409138262271881,0.8157600164413452,0.4330972731113434
24,500,128,tanh,0.5,5,0.7599999904632568,0.7070000171661377,0.5767787098884583,0.7051600217819214,0.5696489214897156
